id,Authority,Contact,contact_email,Contact_name,Indigenous Nation,Land Council,Latitude,Longitude,outfallName,State,Type
Ballina Shire Council,02 6686 7055,reception@jali.com.au,,Bundjalung,Jali Land Council,-28.8221330,153.6083800,Skennars Head (Lennox Head),New South Wales,Ocean
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.4369,153.1175,Gibson Island,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.5907,152.88829,Goodna,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.5401,152.83445,Karana Downs,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.37799,153.16026,Luggage Point,Queensland,Ocean
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.54463,152.9736,Oxley,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.33001,153.0732,Sandgate,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.581227,152.895006,Wacol,Queensland,River
Queensland Urban Utilities,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.41533,153.16896,Wynnum,Queensland,Ocean
Redland City Council,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.51698,153.1968,Capalaba,Queensland,River
Redland City Council,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.48409,153.18854,Thorneside,Queensland,River
Redland City Council,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.579712,153.29122,Victoria Point,Queensland,River
Rockhampton Regional Council,07 4093 8116,admin@darumbal.com.au,,Darumbal,Darumbal People Aboriginal Corporation,-23.3782,150.5183,North Rockhampton,Queensland,River
Rockhampton Regional Council,07 4093 8116,admin@darumbal.com.au,,Darumbal,Darumbal People Aboriginal Corporation,-23.3932,150.5296,South Rockhampton,Queensland,River
Rockhampton Regional Council,07 4093 8116,admin@darumbal.com.au,,Darumbal,Darumbal People Aboriginal Corporation,-23.36078,150.49501,West Rockhampton,Queensland,River
Shoalhaven Water,02 4447 4355,jlalc@bigpond.com,,Tharawal,Jerrinja Land Council,-34.9316,150.783483,Penguin Heads,New South Wales,Ocean
Shoalhaven Water,02 4455 5883,admin@ulladullalalc.com.au,,Yuin,Ulladulla Land Council,-35.3777,150.469167,Ulladulla,New South Wales,Ocean
South Australian Water Corporation,08 8100 2800,tomj@nativetitlesa.org,Tania Tailor,Kaurna,Kaurna Yerta Aboriginal Corporation,-34.725964,138.467493,Bolivar High Salinity,South Australia,Ocean
South Australian Water Corporation,08 8100 2800,tomj@nativetitlesa.org,Tania Tailor,Kaurna,Kaurna Yerta Aboriginal Corporation,-34.725964,138.467227,Bolivar WWTP,South Australia,Ocean
South Australian Water Corporation,08 8100 2800,tomj@nativetitlesa.org,Tania Tailor,Kaurna,Kaurna Yerta Aboriginal Corporation,-35.125866,138.462347,Christies Beach-Northern,South Australia,Ocean
South Australian Water Corporation,08 8100 2800,tomj@nativetitlesa.org,Tania Tailor,Kaurna,Kaurna Yerta Aboriginal Corporation,-35.126478,138.465546,Christies Beach-Southern,South Australia,Ocean
South Australian Water Corporation,N/A,N/A,N/A,Buandig,First Nations of the South East,-38.050679,140.649617,Finger Point,South Australia,Ocean
South Australian Water Corporation,08 8100 2800,tomj@nativetitlesa.org,Tania Tailor,Kaurna,Kaurna Yerta Aboriginal Corporation,-34.963133,138.50393,Glenelg,South Australia,Ocean
South Australian Water Corporation,08 8210 1247,Barngarlacontact@gmail.com,Mr Leslie (Lez) Taylor,Nukunu,Barngarla Determination Aboriginal Corporation,-32.53543,137.779488,Port Augusta East,South Australia,Ocean
South Australian Water Corporation,08 8210 1247,Barngarlacontact@gmail.com,Mr Leslie (Lez) Taylor,Narangga,Barngarla Determination Aboriginal Corporation,-34.750682,135.89514,Port Lincoln,South Australia,Ocean
South Australian Water Corporation,0400 953 516,timw@internode.on.net,Timothy Wooley,Nukunu,Nukunu Wapma Thura (Aboriginal Corporation),-33.182087,137.967354,Port Pirie,South Australia,Ocean
South Australian Water Corporation,08 8210 1247,Barngarlacontact@gmail.com,Mr Leslie (Lez) Taylor,Banggarla,Barngarla Determination Aboriginal Corporation,-33.05816,137.552655,Whyalla,South Australia,Ocean
South East Water,03 9770 1273,admin@bunuronglc.org.au,"Dan Turnbull, CEO",Boonwurrung,Bunurong Land Council Aboriginal Corporation,-38.440278,144.847781,Boags Rock (Boneo),Victoria,Ocean
South Gippsland Water,03 5152 5100,reception@glawac.com.au,,Boonwurrung,Gunaikurnai Land and Waters Aboriginal Corporation,-38.6043608,145.5273781,Baxter's Beach,Victoria,Ocean
South Gippsland Water,N/A,,,Boonwurrung,N/A,-38.696084,146.23672,Foster,Victoria,Ocean
South Gippsland Water,03 5152 5100,reception@glawac.com.au,,Kurnai,Gunaikurnai Land and Waters Aboriginal Corporation,-38.703567,146.462555,Port Welshpool,Victoria,Ocean
South Gippsland Water,03 5152 5100,reception@glawac.com.au,,Kurnai,Gunaikurnai Land and Waters Aboriginal Corporation,-38.675741,146.339733,Toora,Victoria,Ocean
Sydney Water,02 4226 3338,ceo@ilalc.org.au,,Tharawal,Illawarra Land Council,-34.372067,150.928433,Bellambi,New South Wales,Ocean
Sydney Water,02 4226 3338,ceo@ilalc.org.au,,Tharawal,Illawarra Land Council,-34.653117,150.8617,Bombo,New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Eora,Metropolitan Land Council,-33.8945,151.306667,Bondi,New South Wales,Ocean
Sydney Water,02 4226 3338,ceo@ilalc.org.au,,Tharawal,Illawarra Land Council,-34.443686,150.909561,Coniston Beach (Wollongong),New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Eora,Metropolitan Land Council,-33.863317,151.283347,Diamond Bay North,New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Eora,Metropolitan Land Council,-33.865249,151.283918,Diamond Bay South,New South Wales,Ocean
Sydney Water,02 9311 4282,admin@laperouse.org.au,,Eora/Tharawal,La Perouse Land Council,-33.987,151.306667,Malabar,New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Kuring-gai,Metropolitan Land Council,-33.8245,151.3505,North Head,New South Wales,Ocean
Sydney Water,02 4226 3338,ceo@ilalc.org.au,,Tharawal,Illawarra Land Council,-34.495333,150.920583,Port Kembla,New South Wales,Ocean
Sydney Water,02 9311 4282,admin@laperouse.org.au,,Tharawal,La Perouse Land Council,-34.043083,151.212333,Potter Point (Cronulla),New South Wales,Ocean
Sydney Water,02 4226 3338,ceo@ilalc.org.au,,Tharawal,Illawarra Land Council,-34.563683,150.87365,Shellharbour,New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Eora,Metropolitan Land Council,-33.857185,151.286052,Vaucluse,New South Wales,Ocean
Sydney Water,02 8394 9666,metrolalc@metrolalc.org.au,,Kuring-gai,Metropolitan Land Council,-33.69805,151.311883,Warriewood,New South Wales,Ocean
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.189779,146.821607,Beaconsfield,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.145239,146.80228,Beauty Point,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-41.8381058,148.2580678,Bicheno,Tasmania,Estuarine
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.015799,147.329572,Blackmans Bay,Tasmania,River
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Peerapper,Tasmanian Aboriginal Corporation,-40.9275354,145.6176163,Boat Harbour,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.74327,147.239205,Bridgewater,Tasmania,Estuarine
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Pyemmairrener,Tasmanian Aboriginal Corporation,-40.979509,147.385771,Bridport,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.8375668,147.5140404,Cambridge/airport,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-42.8088782,147.2592944,Cameron Bay,Tasmania,Estuarine
TasWater,N/A,,,N/A,N/A,-39.9330229,143.8355263,Currie,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.1686294,147.091641,Cygnet,Tasmania,Estuarine
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.315851,147.033395,Dover,Tasmania,Ocean
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Toogee,Tasmanian Aboriginal Corporation,-42.152936,145.3112,East Strahan,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.054599,147.268836,Electrona,Tasmania,Estuarine
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.163586,146.936446,Geeveston,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.127335,146.831461,George Town,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.438054,147.169998,Hoblers Bridge,Tasmania,River
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.1632,146.3924,Latrobe (see Pardoe),Tasmania,Ocean
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.361009,147.062338,Legana,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-42.877707,147.34124,Macquarie Point,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-43.025778,147.278198,Margate,Tasmania,Estuarine
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.793141,147.563723,Midway Point,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.39715,147.115357,Newnham,Tasmania,Estuarine
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.571303,147.90913,Orford,Tasmania,Ocean
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.1632,146.3924,Pardoe (Devonport),Tasmania,Ocean
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.124623,146.541082,Port Sorell,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-42.825574,147.306624,Prince of Wales Bay,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.745338,147.443525,Richmond,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.81904,147.319887,Risdon (east),Tasmania,River
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.418565,147.115579,Riverside,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.919098,147.409009,Rokeby,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.87638,147.351322,Rosny,Tasmania,River
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.063287,145.944437,Round Hill,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Nuenonne,Tasmanian Aboriginal Corporation,-42.846898,147.328893,Selfs Point,Tasmania,River
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Peerapper,Tasmanian Aboriginal Corporation,-40.913201,145.564854,Sisters Beach,Tasmania,Ocean
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Peerapper,Tasmanian Aboriginal Corporation,-40.823903,145.101634,Smithton,Tasmania,Estuarine
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne/Peerapper,Tasmanian Aboriginal Corporation,-41.025887,145.805429,Somerset,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.793141,147.563723,Sorell,Tasmania,Estuarine
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Pyemmairrener,Tasmanian Aboriginal Corporation,-41.32379,148.261171,St Helens,Tasmania,Estuarine
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Peerapper,Tasmanian Aboriginal Corporation,-40.749472,145.297356,Stanley,Tasmania,Ocean
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.127986,148.058814,Swansea,Tasmania,Ocean
TasWater,03 6332 3800,launceston@tacinc.com.au,"Dave Warrener, President",Tyerrernotepanner,Tasmanian Aboriginal Corporation,-41.41684,147.121777,Ti-tree Bend,Tasmania,River
TasWater,03 6234 0700,hobart@tacinc.com.au,"Dave Warrener, President",Paredarerme,Tasmanian Aboriginal Corporation,-42.503793,147.920748,Triabunna,Tasmania,River
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.166492,146.251062,Turners Beach,Tasmania,Estuarine
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Tommeginne,Tasmanian Aboriginal Corporation,-41.141155,146.161142,Ulverstone,Tasmania,Ocean
TasWater,03 6436 4100,burnie@tacinc.com.au,"Dave Warrener, President",Peerapper,Tasmanian Aboriginal Corporation,-40.995733,145.759784,Wynyard,Tasmania,Ocean
Townsville Regional Council,07 4042 7000,reception@nqlc.com.au,,Gugu-Badhun,North Queensland Land Council,-19.28838,146.864,Cleveland Bay,Queensland,Ocean
Townsville Regional Council,07 4042 7000,reception@nqlc.com.au,,Gugu-Badhun,North Queensland Land Council,-19.2476,146.7488,Mt St John,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Yuggera,Queensland South Native Title Services Limited,-27.14847,153.03356,Burpengary East,Queensland,Estuarine
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Yuggera/Gubbi Gubbi,Queensland South Native Title Services Limited,-27.09525,152.97011,Caboolture South,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-26.57877,153.06701,Coolum,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-26.730678,153.143303,Kawana,Queensland,Ocean
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-26.73071,153.14377,Landsborough,Queensland,Ocean
